State Name,District Name,Market Name,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Year,Month,Day,DayOfWeek,WeekOfYear,Quarter,Price_Spread,Price_Ratio
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-11-01,2008,11,1,5,44,4,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-11-01,2008,11,1,5,44,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-11-03,2008,11,3,0,45,4,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-11-03,2008,11,3,0,45,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-11-06,2008,11,6,3,45,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-11-06,2008,11,6,3,45,4,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-11-07,2008,11,7,4,45,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-11-07,2008,11,7,4,45,4,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-11-08,2008,11,8,5,45,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-11-08,2008,11,8,5,45,4,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.06,13500,14000,14000,2008-11-10,2008,11,10,0,46,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.06,14500,15000,15000,2008-11-10,2008,11,10,0,46,4,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-11-11,2008,11,11,1,46,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-11-11,2008,11,11,1,46,4,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.06,14500,15000,15000,2008-11-12,2008,11,12,2,46,4,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.06,13500,14000,14000,2008-11-12,2008,11,12,2,46,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-11-14,2008,11,14,4,46,4,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-11-14,2008,11,14,4,46,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-11-17,2008,11,17,0,47,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-11-17,2008,11,17,0,47,4,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.06,14500,15000,15000,2008-11-18,2008,11,18,1,47,4,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.06,13500,14000,14000,2008-11-18,2008,11,18,1,47,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.06,14500,15000,15000,2008-11-20,2008,11,20,3,47,4,500,1.0344827586206897
