State Name,District Name,Market Name,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Year,Month,Day,DayOfWeek,WeekOfYear,Quarter,Price_Spread,Price_Ratio,Arrival_Lag_1,Arrival_Lag_3,Arrival_Lag_7,Price_Lag_1,Price_Lag_3,Price_Lag_7,Arrival_RollMean_7,Price_RollMean_7,Arrival_RollMean_14,Price_RollMean_14,Arrival_RollMean_30,Price_RollMean_30,Price_Volatility_14,Arrival_Volatility_14,Log_Arrivals,Log_Modal_Price,Price_Change,Price_Pct_Change,Arrival_Change,Month_Sin,Month_Cos,DayOfWeek_Sin,DayOfWeek_Cos,Year_Trend,Is_Weekend,State Name_Encoded,District Name_Encoded,Market Name_Encoded
Tripura,Sepahijala,Bishalgarh,Beverages,2.7,10000,14000,12000,2002-03-13,2002,3,13,2,11,1,4000,1.2,2.7,3.0,4.0,8000.0,6000.0,12000.0,3.242857142857143,9142.857142857143,3.635714285714286,8857.142857142857,3.2304347826086954,9173.91304347826,2851.643058285544,0.7417309722297121,1.308332819650179,9.392745258631441,4000.0,0.4999375078115236,0.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0,0,7,10,1
Tripura,Sepahijala,Bishalgarh,Beverages,3.0,6000,9000,8000,2002-03-14,2002,3,14,3,11,1,3000,1.3333333333333333,2.7,3.0,4.0,12000.0,12000.0,7000.0,3.057142857142857,9142.857142857143,3.6142857142857143,9214.285714285714,3.2083333333333335,9291.666666666666,2913.5907380774993,0.7654633014939805,1.3862943611198906,8.987321812850125,-4000.0,-0.33330555787017746,0.2999999999999998,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0,0,7,10,1
Tripura,Sepahijala,Bishalgarh,Beverages,3.0,10000,14000,12000,2002-03-14,2002,3,14,3,11,1,4000,1.2,3.0,2.7,3.0,8000.0,8000.0,7000.0,2.914285714285714,9285.714285714286,3.5714285714285716,9285.714285714286,3.2,9240.0,2867.015908532811,0.7829221116861061,1.3862943611198906,9.392745258631441,4000.0,0.4999375078115236,0.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0,0,7,10,1
Tripura,Sepahijala,Bishalgarh,Beverages,2.8,10000,14000,12000,2002-03-15,2002,3,15,4,11,1,4000,1.2,3.0,2.7,3.0,12000.0,12000.0,12000.0,2.914285714285714,10000.0,3.5285714285714285,9142.857142857143,3.1923076923076925,9346.153846153846,2656.114653953224,0.7975236398025796,1.33500106673234,9.392745258631441,0.0,0.0,-0.20000000000000018,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0,0,7,10,1
Tripura,Sepahijala,Bishalgarh,Beverages,2.8,6000,9000,8000,2002-03-15,2002,3,15,4,11,1,3000,1.3333333333333333,2.8,3.0,3.0,12000.0,8000.0,6000.0,2.8857142857142857,10000.0,3.442857142857143,9142.857142857143,3.1777777777777776,9444.444444444445,2656.114653953224,0.8073835097821421,1.33500106673234,8.987321812850125,-4000.0,-0.33330555787017746,0.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0,0,7,10,1
Tripura,Sepahijala,Bishalgarh,Beverages,3.0,6000,9000,8000,2002-03-16,2002,3,16,5,11,1,3000,1.3333333333333333,2.8,3.0,3.0,8000.0,12000.0,12000.0,2.857142857142857,10285.714285714286,3.357142857142857,9285.714285714286,3.164285714285714,9392.857142857143,2524.6042013801634,0.8073835097821421,1.3862943611198906,8.987321812850125,0.0,0.0,0.20000000000000018,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0,1,7,10,1
Tripura,Sepahijala,Bishalgarh,Beverages,3.0,10000,14000,12000,2002-03-16,2002,3,16,5,11,1,4000,1.2,3.0,2.8,2.7,8000.0,12000.0,8000.0,2.857142857142857,9714.285714285714,3.2142857142857144,9428.57142857143,3.158620689655172,9344.827586206897,2376.6261061327355,0.6573339425953225,1.3862943611198906,9.392745258631441,4000.0,0.4999375078115236,0.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0,1,7,10,1
Tripura,Sepahijala,Bishalgarh,Beverages,3.8,6000,9000,8000,2002-03-17,2002,3,17,6,11,1,3000,1.3333333333333333,3.0,2.8,2.7,12000.0,8000.0,12000.0,2.9,10285.714285714286,3.0714285714285716,9714.285714285714,3.1533333333333333,9433.333333333334,2431.478544443259,0.41030677346547323,1.5686159179138452,8.987321812850125,-4000.0,-0.33330555787017746,0.7999999999999998,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0,1,7,10,1
Tripura,Sepahijala,Bishalgarh,Beverages,3.8,10000,14000,12000,2002-03-17,2002,3,17,6,11,1,4000,1.2,3.8,3.0,3.0,8000.0,8000.0,8000.0,3.057142857142857,9714.285714285714,3.057142857142857,9428.57142857143,3.23,9366.666666666666,2376.6261061327355,0.37767361919700115,1.5686159179138452,9.392745258631441,4000.0,0.4999375078115236,0.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0,1,7,10,1
Tripura,Sepahijala,Bishalgarh,Beverages,3.0,5000,8000,7000,2002-03-19,2002,3,19,1,12,1,3000,1.4,3.8,3.0,3.0,12000.0,12000.0,12000.0,3.1714285714285713,10285.714285714286,3.042857142857143,9785.714285714286,3.3066666666666666,9500.0,2359.2231912080856,0.3412968158121539,1.3862943611198906,8.853808274977197,-5000.0,-0.41663194733772185,-0.7999999999999998,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0,0,7,10,1
