State Name,District Name,Market Name,Variety,Reported Date,Modal Price (Rs./Quintal),future_modal_price,random_forest_prediction,xgboost_prediction,baseline_error,random_forest_error,xgboost_error,baseline_abs_error,random_forest_abs_error,xgboost_abs_error,actual_price_change,actual_price_change_pct
Kerala,Malappuram,Thirurrangadi,Other,2013-08-31,12000,13000.0,12422.333333333334,12724.321,1000.0,577.6666666666661,275.6787109375,1000.0,577.6666666666661,275.6787109375,1000.0,8.333333333333332
Kerala,Malappuram,Parappanangadi,Other,2013-09-01,11000,13000.0,11889.333333333334,12071.462,2000.0,1110.666666666666,928.5380859375,2000.0,1110.666666666666,928.5380859375,2000.0,18.181818181818183
Jharkhand,Dhanbad,Dhanbad,Other,2013-09-01,23000,23000.0,22986.666666666668,22982.797,0.0,13.33333333333212,17.203125,0.0,13.33333333333212,17.203125,0.0,0.0
Jharkhand,Deogarh,Madhupur,C.T.C. Dust,2013-09-02,17000,17000.0,16994.0,17032.81,0.0,6.0,-32.810546875,0.0,6.0,32.810546875,0.0,0.0
Kerala,Malappuram,Parappanangadi,Other,2013-09-02,13000,11000.0,12193.666666666666,12139.1455,-2000.0,-1193.666666666666,-1139.1455078125,2000.0,1193.666666666666,1139.1455078125,-2000.0,-15.384615384615385
Kerala,Malappuram,Manjeri,Other,2013-09-02,15500,15500.0,15500.0,15488.807,0.0,0.0,11.193359375,0.0,0.0,11.193359375,0.0,0.0
Kerala,Malappuram,Thirurrangadi,Other,2013-09-02,13000,11000.0,12444.5,12204.454,-2000.0,-1444.5,-1204.4541015625,2000.0,1444.5,1204.4541015625,-2000.0,-15.384615384615385
Jharkhand,Deogarh,Madhupur,Assam C.T.C. Leaf,2013-09-02,26000,26000.0,25940.0,25953.598,0.0,60.0,46.40234375,0.0,60.0,46.40234375,0.0,0.0
Jharkhand,Dhanbad,Dhanbad,Other,2013-09-02,23000,23000.0,22993.333333333332,22997.545,0.0,6.666666666667879,2.455078125,0.0,6.666666666667879,2.455078125,0.0,0.0
Jharkhand,Deogarh,Madhupur,Assam C.T.C. Leaf,2013-09-03,26000,26000.0,25940.0,25958.564,0.0,60.0,41.435546875,0.0,60.0,41.435546875,0.0,0.0
Kerala,Malappuram,Parappanangadi,Other,2013-09-03,11000,13000.0,11710.166666666666,11240.019,2000.0,1289.833333333334,1759.9814453125,2000.0,1289.833333333334,1759.9814453125,2000.0,18.181818181818183
Jharkhand,Deogarh,Madhupur,C.T.C. Dust,2013-09-03,17000,17000.0,16974.0,16984.715,0.0,26.0,15.28515625,0.0,26.0,15.28515625,0.0,0.0
Jharkhand,Deogarh,Madhupur,C.T.C. Dust,2013-09-04,17000,17000.0,16989.0,16990.293,0.0,11.0,9.70703125,0.0,11.0,9.70703125,0.0,0.0
Kerala,Malappuram,Manjeri,Other,2013-09-04,15500,15500.0,15500.0,15493.087,0.0,0.0,6.9130859375,0.0,0.0,6.9130859375,0.0,0.0
Jharkhand,Deogarh,Madhupur,Assam C.T.C. Leaf,2013-09-04,26000,26000.0,25940.0,25954.363,0.0,60.0,45.63671875,0.0,60.0,45.63671875,0.0,0.0
Jharkhand,Dhanbad,Dhanbad,Other,2013-09-04,23000,23000.0,23023.333333333332,23012.502,0.0,-23.33333333333212,-12.501953125,0.0,23.33333333333212,12.501953125,0.0,0.0
Kerala,Malappuram,Thirurrangadi,Other,2013-09-05,11000,13000.0,11975.833333333334,11644.194,2000.0,1024.166666666666,1355.8056640625,2000.0,1024.166666666666,1355.8056640625,2000.0,18.181818181818183
Kerala,Malappuram,Parappanangadi,Other,2013-09-05,13000,13000.0,12359.166666666666,12535.277,0.0,640.8333333333339,464.72265625,0.0,640.8333333333339,464.72265625,0.0,0.0
Kerala,Malappuram,Manjeri,Other,2013-09-05,15500,15500.0,15500.0,15494.414,0.0,0.0,5.5859375,0.0,0.0,5.5859375,0.0,0.0
Jharkhand,Deogarh,Madhupur,Assam C.T.C. Leaf,2013-09-06,26000,26000.0,25940.0,25943.654,0.0,60.0,56.345703125,0.0,60.0,56.345703125,0.0,0.0
Jharkhand,Dhanbad,Dhanbad,Other,2013-09-06,23000,23000.0,23010.0,23006.0,0.0,-10.0,-6.0,0.0,10.0,6.0,0.0,0.0
Kerala,Malappuram,Thirurrangadi,Other,2013-09-06,13000,11000.0,12247.0,12240.599,-2000.0,-1247.0,-1240.5986328125,2000.0,1247.0,1240.5986328125,-2000.0,-15.384615384615385
Jharkhand,Deogarh,Madhupur,C.T.C. Dust,2013-09-06,17000,17000.0,16833.333333333332,16973.326,0.0,166.66666666666788,26.673828125,0.0,166.66666666666788,26.673828125,0.0,0.0
Kerala,Malappuram,Parappanangadi,Other,2013-09-06,13000,13000.0,12067.666666666666,12316.061,0.0,932.3333333333339,683.939453125,0.0,932.3333333333339,683.939453125,0.0,0.0
Kerala,Malappuram,Manjeri,Other,2013-09-06,15500,15500.0,15500.0,15494.414,0.0,0.0,5.5859375,0.0,0.0,5.5859375,0.0,0.0
Kerala,Malappuram,Thirurrangadi,Other,2013-09-07,11000,13000.0,11807.666666666666,11484.229,2000.0,1192.333333333334,1515.771484375,2000.0,1192.333333333334,1515.771484375,2000.0,18.181818181818183
Jharkhand,Dhanbad,Dhanbad,Other,2013-09-07,23000,23000.0,23010.0,23003.56,0.0,-10.0,-3.560546875,0.0,10.0,3.560546875,0.0,0.0
Kerala,Malappuram,Manjeri,Other,2013-09-07,15500,15500.0,15500.0,15491.19,0.0,0.0,8.8095703125,0.0,0.0,8.8095703125,0.0,0.0
Kerala,Malappuram,Parappanangadi,Other,2013-09-07,13000,11000.0,12291.5,12432.802,-2000.0,-1291.5,-1432.8017578125,2000.0,1291.5,1432.8017578125,-2000.0,-15.384615384615385
Jharkhand,Dhanbad,Dhanbad,Other,2013-09-08,23000,23000.0,23006.666666666668,23069.156,0.0,-6.666666666667879,-69.15625,0.0,6.666666666667879,69.15625,0.0,0.0
Kerala,Malappuram,Thirurrangadi,Other,2013-09-09,13000,12000.0,12274.666666666666,12326.384,-1000.0,-274.66666666666606,-326.3837890625,1000.0,274.66666666666606,326.3837890625,-1000.0,-7.6923076923076925
Kerala,Malappuram,Manjeri,Other,2013-09-09,15500,15500.0,15508.333333333334,15486.907,0.0,-8.33333333333394,13.0927734375,0.0,8.33333333333394,13.0927734375,0.0,0.0
Kerala,Malappuram,Parappanangadi,Other,2013-09-09,11000,11000.0,11850.333333333334,11571.903,0.0,-850.3333333333339,-571.9033203125,0.0,850.3333333333339,571.9033203125,0.0,0.0
Kerala,Malappuram,Manjeri,Other,2013-09-10,15500,15500.0,15508.333333333334,15493.272,0.0,-8.33333333333394,6.7275390625,0.0,8.33333333333394,6.7275390625,0.0,0.0
Kerala,Malappuram,Thirurrangadi,Other,2013-09-10,12000,12000.0,12097.5,12199.306,0.0,-97.5,-199.3056640625,0.0,97.5,199.3056640625,0.0,0.0
Kerala,Malappuram,Parappanangadi,Other,2013-09-10,11000,11000.0,11619.666666666666,11687.173,0.0,-619.6666666666661,-687.1728515625,0.0,619.6666666666661,687.1728515625,0.0,0.0
Kerala,Malappuram,Thirurrangadi,Other,2013-09-11,12000,12000.0,12155.666666666666,12183.49,0.0,-155.66666666666606,-183.490234375,0.0,155.66666666666606,183.490234375,0.0,0.0
Jharkhand,Dhanbad,Dhanbad,Other,2013-09-11,23000,23000.0,23000.0,22996.236,0.0,0.0,3.763671875,0.0,0.0,3.763671875,0.0,0.0
Kerala,Malappuram,Manjeri,Other,2013-09-11,15500,15500.0,15508.333333333334,15491.299,0.0,-8.33333333333394,8.701171875,0.0,8.33333333333394,8.701171875,0.0,0.0
Kerala,Malappuram,Parappanangadi,Other,2013-09-11,11000,13000.0,11613.166666666666,11436.512,2000.0,1386.833333333334,1563.48828125,2000.0,1386.833333333334,1563.48828125,2000.0,18.181818181818183
Jharkhand,Dhanbad,Dhanbad,Other,2013-09-12,23000,23000.0,23003.333333333332,22987.418,0.0,-3.3333333333321207,12.58203125,0.0,3.3333333333321207,12.58203125,0.0,0.0
Jharkhand,Deogarh,Madhupur,C.T.C. Dust,2013-09-12,17000,17000.0,16960.666666666668,16986.695,0.0,39.33333333333212,13.3046875,0.0,39.33333333333212,13.3046875,0.0,0.0
Jharkhand,Deogarh,Madhupur,Assam C.T.C. Leaf,2013-09-12,26000,26000.0,25940.0,25953.424,0.0,60.0,46.576171875,0.0,60.0,46.576171875,0.0,0.0
Kerala,Malappuram,Manjeri,Other,2013-09-12,15500,15500.0,15508.333333333334,15499.229,0.0,-8.33333333333394,0.771484375,0.0,8.33333333333394,0.771484375,0.0,0.0
Kerala,Malappuram,Parappanangadi,Other,2013-09-12,13000,11000.0,12044.166666666666,10831.929,-2000.0,-1044.166666666666,168.0712890625,2000.0,1044.166666666666,168.0712890625,-2000.0,-15.384615384615385
Kerala,Malappuram,Thirurrangadi,Other,2013-09-12,12000,13000.0,12211.333333333334,12385.767,1000.0,788.6666666666661,614.2333984375,1000.0,788.6666666666661,614.2333984375,1000.0,8.333333333333332
Kerala,Malappuram,Manjeri,Other,2013-09-13,15500,15500.0,15508.333333333334,15499.622,0.0,-8.33333333333394,0.3779296875,0.0,8.33333333333394,0.3779296875,0.0,0.0
Kerala,Malappuram,Parappanangadi,Other,2013-09-13,11000,12000.0,11707.666666666666,11351.627,1000.0,292.33333333333394,648.373046875,1000.0,292.33333333333394,648.373046875,1000.0,9.090909090909092
Kerala,Malappuram,Thirurrangadi,Other,2013-09-13,13000,11000.0,12173.5,12053.728,-2000.0,-1173.5,-1053.7275390625,2000.0,1173.5,1053.7275390625,-2000.0,-15.384615384615385
Kerala,Malappuram,Manjeri,Other,2013-09-14,15500,15500.0,15508.333333333334,15498.187,0.0,-8.33333333333394,1.8134765625,0.0,8.33333333333394,1.8134765625,0.0,0.0
Kerala,Malappuram,Thirurrangadi,Other,2013-09-14,11000,13000.0,11797.333333333334,11055.341,2000.0,1202.666666666666,1944.6591796875,2000.0,1202.666666666666,1944.6591796875,2000.0,18.181818181818183
Jharkhand,Dhanbad,Dhanbad,Other,2013-09-14,23000,23000.0,23016.666666666668,22991.93,0.0,-16.66666666666788,8.0703125,0.0,16.66666666666788,8.0703125,0.0,0.0
Kerala,Malappuram,Parappanangadi,Other,2013-09-14,12000,13000.0,12029.333333333334,11281.725,1000.0,970.6666666666661,1718.275390625,1000.0,970.6666666666661,1718.275390625,1000.0,8.333333333333332
Jharkhand,Dhanbad,Dhanbad,Other,2013-09-15,23000,23000.0,23013.333333333332,22982.898,0.0,-13.33333333333212,17.1015625,0.0,13.33333333333212,17.1015625,0.0,0.0
Jharkhand,Deogarh,Madhupur,Assam C.T.C. Leaf,2013-09-17,26000,26000.0,25946.666666666668,25966.584,0.0,53.33333333333212,33.416015625,0.0,53.33333333333212,33.416015625,0.0,0.0
Jharkhand,Deogarh,Madhupur,C.T.C. Dust,2013-09-17,17000,17000.0,16988.333333333332,16995.64,0.0,11.66666666666788,4.359375,0.0,11.66666666666788,4.359375,0.0,0.0
Kerala,Malappuram,Parappanangadi,Other,2013-09-17,13000,11000.0,12151.0,11178.218,-2000.0,-1151.0,-178.2177734375,2000.0,1151.0,178.2177734375,-2000.0,-15.384615384615385
Kerala,Malappuram,Thirurrangadi,Other,2013-09-17,13000,13000.0,12226.5,12392.097,0.0,773.5,607.9033203125,0.0,773.5,607.9033203125,0.0,0.0
